Const,Your Rating,Date Rated,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt14465196,7,24-12-2025,Middle Class,Middle Class,https://www.imdb.com/title/tt14465196,Movie,7.7,125,2025,"Drama, Comedy",813,21-11-2025,Kishore M. Ramalingam
tt36587142,6,23-12-2025,Aaromaley,Aaromaley,https://www.imdb.com/title/tt36587142,Movie,7.3,128,2025,"Comedy, Drama, Romance",1933,12-12-2025,Sarang Thiagu
tt11737520,8,28-02-2026,One Piece,One Piece,https://www.imdb.com/title/tt11737520,TV Series,8.3,60,2023,"Action, Fantasy, Adventure, Drama, Comedy",185948,31-08-2023,
tt16358384,8,30-11-2025,Tulsa King,Tulsa King,https://www.imdb.com/title/tt16358384,TV Series,7.9,40,2022,"Drama, Crime, Action",115702,07-05-2023,
tt6468322,9,16-06-2020,La Casa De Papel,La casa de papel,https://www.imdb.com/title/tt6468322,TV Series,8.2,60,2017,"Thriller, Crime, Mystery, Action, Drama",600388,20-12-2017,
